ForceDecks Raw Data Export,2.0
Weight,61.51
Frequency,1000
Recording Date,2023-10-17T09:23:17
Recording Info,Jump;2.0.8587
Data Source,"ForceDecks;FDL2-220804-FW2R6-HW3R5,4251,FDL2-FW2R6-HW3R5,4248 (Post-analysis Trial 1)"
Analysis Date,2023-10-17T09:23:36
AthleteId,32d95336-22f1-46d5-8339-2bb0b8972d90

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right,,Acceleration,Velocity,Height,Power,Impulse
14.631,261.019063,0.043427,54.574979,342.357455,6.132952,45.561188,,66.340821,97.22001,33.3356,64.122632,110.737251,96.632224,83.081714,51.906265,,0,0,0,0,0
14.632,262.269063,-0.777502,53.698613,343.107455,5.85068,46.560741,,66.840821,96.97001,33.3356,65.122632,111.737251,96.882224,82.831714,51.656265,,0,0,0,0,0
14.633,261.769063,-0.544047,55.859294,343.107455,6.388413,46.246699,,67.090821,97.72001,32.5856,64.372632,110.987251,97.382224,83.081714,51.656265,,0,0,0,0,0
14.634,261.269063,-0.074309,54.316553,341.357455,6.331082,46.01031,,66.340821,97.22001,33.3356,64.372632,110.237251,96.882224,82.581714,51.656265,,0,0,0,0,0
14.635,260.519063,-0.192557,55.093319,341.857455,5.782123,45.943016,,66.340821,97.22001,32.8356,64.122632,110.987251,96.382224,82.581714,51.906265,,0,0,0,0,0
14.636,261.769063,-0.544047,54.624427,342.107455,6.04755,45.437003,,67.090821,96.97001,33.3356,64.372632,110.987251,96.132224,83.331714,51.656265,,0,0,0,0,0
14.637,261.519063,-0.426985,54.882653,342.857455,5.765259,45.180474,,66.840821,97.22001,33.0856,64.372632,110.737251,96.632224,82.831714,52.656265,,0,0,0,0,0
14.638,261.019063,-0.192188,54.162174,342.357455,6.132952,45.875917,,66.340821,96.97001,33.3356,64.372632,110.487251,97.132224,82.581714,52.156265,,0,0,0,0,0
14.639,262.019063,-0.895602,53.544234,341.857455,5.602224,45.627826,,66.840821,96.72001,33.3356,65.122632,111.237251,95.882224,82.831714,51.906265,,0,0,0,0,0
14.64,262.019063,-0.42617,55.189152,343.107455,5.492192,45.932658,,67.090821,97.47001,33.0856,64.372632,111.487251,96.632224,82.581714,52.406265,,0,0,0,0,0
14.641,261.519063,-0.897314,52.822574,343.107455,5.85068,45.618616,,66.340821,96.47001,33.3356,65.372632,110.987251,96.882224,82.831714,52.406265,,0,0,0,0,0
14.642,261.269063,-0.545089,55.141373,342.857455,5.585884,46.123286,,66.840821,97.22001,32.8356,64.372632,111.737251,96.382224,82.831714,51.906265,,0,0,0,0,0
14.643,260.019063,-0.665969,55.19926,342.857455,5.406509,46.123286,,66.840821,96.47001,32.8356,63.872632,111.487251,96.632224,82.331714,52.406265,,0,0,0,0,0
14.644,261.269063,-0.309699,55.966194,343.107455,6.029924,45.618616,,67.090821,97.47001,32.8356,63.872632,110.987251,96.882224,83.081714,52.156265,,0,0,0,0,0
14.645,260.769063,-0.310293,53.594298,342.607455,5.500207,46.314192,,66.090821,96.72001,33.3356,64.622632,111.737251,96.382224,82.581714,51.906265,,0,0,0,0,0
14.646,261.019063,-0.192188,54.987784,343.357455,5.57775,45.742308,,66.590821,97.22001,33.0856,64.122632,111.737251,96.382224,83.081714,52.156265,,0,0,0,0,0
14.647,261.269063,-0.074309,54.728963,342.107455,5.508246,46.066922,,66.340821,97.47001,33.0856,64.372632,110.987251,96.632224,82.081714,52.406265,,0,0,0,0,0
14.648,260.019063,-0.429448,56.028046,342.607455,5.320701,45.999692,,66.840821,96.97001,32.5856,63.622632,111.737251,96.132224,82.581714,52.156265,,0,0,0,0,0
14.649,260.769063,-0.546134,55.247102,342.857455,5.765259,46.123286,,66.840821,96.97001,32.8356,64.122632,110.987251,97.132224,82.331714,52.406265,,0,0,0,0,0
14.65,261.019063,0.043427,54.162174,342.357455,5.594042,46.190647,,66.090821,97.22001,33.3356,64.372632,111.237251,96.632224,82.331714,52.156265,,0,0,0,0,0
14.651,259.769063,-0.311487,55.45978,342.607455,5.859219,46.314192,,66.340821,96.97001,32.5856,63.872632,111.237251,96.882224,82.581714,51.906265,,0,0,0,0,0
14.652,260.519063,-0.664691,55.093319,342.107455,6.407086,46.066922,,66.840821,96.72001,32.8356,64.122632,110.487251,97.132224,82.831714,51.656265,,0,0,0,0,0
14.653,262.769063,-1.010069,54.006491,342.107455,5.508246,45.751962,,67.340821,96.97001,33.3356,65.122632,111.237251,96.132224,82.581714,52.156265,,0,0,0,0,0
14.654,260.019063,-0.429448,53.956082,343.107455,5.492192,46.560741,,66.090821,96.47001,33.0856,64.372632,111.737251,96.882224,82.331714,52.156265,,0,0,0,0,0
14.655,260.519063,-0.428624,54.679722,342.357455,5.414405,45.875917,,66.340821,96.97001,32.8356,64.372632,111.237251,96.382224,82.331714,52.406265,,0,0,0,0,0
14.656,261.019063,0.043427,55.40059,342.607455,5.500207,46.314192,,66.340821,97.72001,32.8356,64.122632,111.737251,96.382224,82.581714,51.906265,,0,0,0,0,0
14.657,259.769063,-0.311487,55.45978,341.607455,6.056402,46.134348,,66.340821,96.97001,32.5856,63.872632,110.737251,96.632224,82.581714,51.656265,,0,0,0,0,0
14.658,260.019063,0.043594,54.784868,343.357455,5.756863,45.428495,,66.090821,96.97001,33.0856,63.872632,111.237251,96.632224,83.081714,52.406265,,0,0,0,0,0
14.659,260.769063,-0.310293,54.4207,342.857455,5.765259,45.809015,,66.340821,96.97001,33.0856,64.372632,110.987251,96.882224,82.581714,52.406265,,0,0,0,0,0
14.66,260.519063,0.515645,54.266125,341.357455,5.970756,45.694659,,65.340821,97.72001,33.0856,64.372632,110.487251,96.382224,82.581714,51.906265,,0,0,0,0,0
14.661,259.769063,-0.311487,56.704154,341.857455,6.321822,45.943016,,67.090821,96.97001,32.5856,63.122632,110.487251,96.882224,82.831714,51.656265,,0,0,0,0,0
14.662,260.269063,-0.074595,55.353236,342.357455,5.953316,45.561188,,66.590821,96.97001,33.0856,63.622632,110.987251,96.382224,83.081714,51.906265,,0,0,0,0,0
14.663,260.269063,-0.310889,54.525247,341.357455,5.790593,45.694659,,66.090821,96.97001,32.8356,64.372632,110.987251,95.882224,82.831714,51.656265,,0,0,0,0,0
14.664,258.269063,-0.313296,55.781884,342.607455,6.038724,45.685192,,65.840821,96.72001,32.0856,63.622632,110.987251,96.632224,83.081714,51.906265,,0,0,0,0,0
14.665,259.769063,-0.074739,55.45978,342.357455,6.132952,45.246458,,66.340821,96.97001,32.8356,63.622632,110.237251,96.882224,82.831714,52.406265,,0,0,0,0,0
