Metric,Date,Position,t-statistic,p-value (t-test),W-statistic,p-value (Wilcoxon),Effect Size (Cohen's d)
Jump Height (Imp-Mom) in Inches [in],2023-09-19,Forward,20.41403820349954,2.7170357313874318e-70,0.0,6.204991719390753e-63,0.6152809677243762
Jump Height (Imp-Mom) in Inches [in],2023-09-19,Guard,24.203353185268735,5.182285557288869e-102,31846.0,9.825952568838689e-80,0.42555428198534184
Jump Height (Imp-Mom) in Inches [in],2023-09-19,,,,,,
Jump Height (Imp-Mom) in Inches [in],2023-09-26,Forward,6.273435071388372e+16,0.0,0.0,1.523970604832094e-23,30805475557723.824
Jump Height (Imp-Mom) in Inches [in],2023-09-26,Guard,-3.14549941153814,0.001750033588031808,58202.0,9.057320818707245e-05,-0.14001223587750708
Jump Height (Imp-Mom) in Inches [in],2023-09-26,,,,,,
Jump Height (Imp-Mom) in Inches [in],2023-09-27,Forward,6.25614452057297,2.5335814347700427e-09,6176.0,4.8749872440673664e-05,0.4018608635829721
Jump Height (Imp-Mom) in Inches [in],2023-09-27,Guard,-0.7577621041116805,0.4490065558183133,40128.0,0.008367973647521905,-0.039969328166305204
Jump Height (Imp-Mom) in Inches [in],2023-09-27,,,,,,
Jump Height (Imp-Mom) in Inches [in],2023-10-03,Forward,19.006071904282674,3.952041892767887e-63,19306.0,1.4643131567096323e-61,0.08429313872728518
Jump Height (Imp-Mom) in Inches [in],2023-10-03,Guard,21.058614817707408,8.62802296706861e-84,153860.0,9.1027755706506e-62,0.344255344579704
Jump Height (Imp-Mom) in Inches [in],2023-10-03,,,,,,
Jump Height (Imp-Mom) in Inches [in],2023-10-04,Forward,6.821474458777616,4.087242665846117e-09,264.0,1.2145544195980523e-07,1.120371350971696
Jump Height (Imp-Mom) in Inches [in],2023-10-04,Guard,6.5841193847083055,1.0919465044119804e-09,1688.0,5.8027801881122724e-09,0.28826202805351614
Jump Height (Imp-Mom) in Inches [in],2023-10-04,,,,,,
Jump Height (Imp-Mom) in Inches [in],2023-10-10,Forward,,,0.0,1.0,
Jump Height (Imp-Mom) in Inches [in],2023-10-10,Guard,1.1237822733688878,0.32398641708800496,4.0,0.4375,0.28879794895246186
Jump Height (Imp-Mom) in Inches [in],2023-10-10,,,,,,
Jump Height (Imp-Mom) in Inches [in],2023-10-11,Forward,7.1696400815867224e+16,0.0,0.0,1.523970604832094e-23,35206257780255.87
Jump Height (Imp-Mom) in Inches [in],2023-10-11,Guard,-20.53966349197379,2.1323062680885346e-68,15050.0,1.6395932647603606e-49,-0.9139635807625341
Jump Height (Imp-Mom) in Inches [in],2023-10-11,,,,,,
Jump Height (Imp-Mom) in Inches [in],2023-10-17,Forward,26.364959911046952,9.099206161030219e-89,0.0,3.05837865032028e-70,0.35984201709851504
Jump Height (Imp-Mom) in Inches [in],2023-10-17,Guard,99.80217707681656,0.0,0.0,1.046144963970056e-127,0.38705181205453953
Jump Height (Imp-Mom) in Inches [in],2023-10-17,,,,,,
Jump Height (Imp-Mom) in Inches [in],2023-10-24,Forward,-8.060991988380492,6.912115789350411e-14,5050.0,2.9890527816858347e-10,-0.12394792478255098
Jump Height (Imp-Mom) in Inches [in],2023-10-24,Guard,20.823118782267766,7.770003743354153e-72,20100.0,8.653867642717298e-54,0.8592908799102069
Jump Height (Imp-Mom) in Inches [in],2023-10-24,,,,,,
Jump Height (Imp-Mom) in Inches [in],2023-10-25,Forward,7.09556556973848,8.048297398642218e-11,2080.0,4.951217422443999e-07,0.4570772654527982
Jump Height (Imp-Mom) in Inches [in],2023-10-25,Guard,10.598786855472225,8.278382131899118e-22,8256.0,9.376646701176226e-10,0.521264503223191
Jump Height (Imp-Mom) in Inches [in],2023-10-25,,,,,,
Jump Height (Imp-Mom) in Inches [in],2023-09-20,Forward,21.31862745098036,2.1635005541110127e-46,0.0,3.451216741169581e-27,2.6550493429373985
Jump Height (Imp-Mom) in Inches [in],2023-09-20,Guard,38.04016401642269,1.0688730673770298e-151,0.0,1.1003686722570159e-86,0.7600404205184204
Jump Height (Imp-Mom) in Inches [in],2023-09-20,,,,,,
Jump Height (Imp-Mom) in Inches [in],2023-10-18,Forward,-24.556170038677656,3.831965625858444e-62,0.0,9.640853349783355e-37,-2.455617003867769
Jump Height (Imp-Mom) in Inches [in],2023-10-18,Guard,29.47434550873391,1.372787688871814e-90,0.0,1.710983059722549e-52,0.1994241170987074
Jump Height (Imp-Mom) in Inches [in],2023-10-18,,,,,,
RSI-modified (Imp-Mom) [m/s],2023-09-19,Forward,14.510971666971532,5.868683449945715e-41,11100.0,2.753816876491194e-51,0.616604239877732
