ForceDecks Raw Data Export,2.0
Weight,65.76
Frequency,1000
Recording Date,2023-09-15T11:50:28
Recording Info,Jump;2.0.8587
Data Source,"ForceDecks;FDL2-220804-FW2R6-HW3R5,4219,FDL2-FW2R6-HW3R5,4218 (Post-analysis Trial 2)"
Analysis Date,2023-09-15T11:50:55
AthleteId,ef61b498-0be5-4865-bec4-0a009bf62d87

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right,,Acceleration,Velocity,Height,Power,Impulse
31.431,365.336478,-12.002407,-11.521816,277.052854,-20.601065,13.983911,,72.649492,100.252298,64.591074,127.843614,44.341195,103.174286,12.150581,117.386792,,0,0,0,0,0
31.432,363.336478,-12.23774,-12.178352,276.552854,-20.638311,11.281866,,71.399492,100.002298,63.591074,128.343614,43.091195,102.424286,12.650581,118.386792,,0,0,0,0,0
31.433,364.836478,-11.850288,-11.537606,277.302854,-20.028044,12.999893,,71.899492,100.752298,64.091074,128.093614,43.841195,103.174286,12.900581,117.386792,,0,0,0,0,0
31.434,365.836478,-11.817896,-10.033416,276.552854,-20.19355,12.840339,,73.149492,101.252298,64.091074,127.343614,43.591195,102.924286,12.650581,117.386792,,0,0,0,0,0
31.435,364.836478,-11.51315,-11.832944,277.302854,-20.249823,11.445635,,71.649492,100.752298,64.591074,127.843614,43.091195,102.924286,12.900581,118.386792,,0,0,0,0,0
31.436,364.836478,-11.51315,-11.537606,278.302854,-19.956079,11.017341,,71.899492,100.752298,64.591074,127.593614,43.091195,103.174286,13.400581,118.636792,,0,0,0,0,0
31.437,363.086478,-12.330857,-12.038357,277.052854,-20.379086,12.428251,,71.899492,99.502298,63.841074,127.843614,43.091195,103.424286,12.150581,118.386792,,0,0,0,0,0
31.438,364.836478,-12.018856,-12.718957,275.552854,-20.490021,12.886937,,71.649492,100.002298,64.591074,128.593614,43.591195,102.424286,12.400581,117.136792,,0,0,0,0,0
31.439,366.336478,-11.466009,-11.784493,276.052854,-20.230125,12.082948,,71.899492,101.252298,64.841074,128.343614,43.341195,102.424286,12.900581,117.386792,,0,0,0,0,0
31.44,364.836478,-11.51315,-11.242268,277.552854,-19.456056,12.405862,,71.649492,101.252298,64.091074,127.843614,43.341195,103.424286,13.400581,117.386792,,0,0,0,0,0
31.441,365.336478,-11.83407,-12.111683,276.552854,-20.638311,11.281866,,71.399492,101.002298,64.091074,128.843614,43.091195,102.424286,12.650581,118.386792,,0,0,0,0,0
31.442,364.586478,-11.942756,-10.806667,277.802854,-19.991997,12.976495,,71.899492,101.252298,63.341074,128.093614,43.591195,103.674286,12.650581,117.886792,,0,0,0,0,0
31.443,365.336478,-11.83407,-10.931948,278.802854,-19.699704,12.929951,,72.649492,100.752298,64.341074,127.593614,44.091195,103.674286,13.400581,117.636792,,0,0,0,0,0
31.444,364.336478,-11.866551,-11.257697,276.052854,-20.007342,12.082948,,71.899492,100.752298,63.841074,127.843614,43.091195,102.674286,12.900581,117.386792,,0,0,0,0,0
31.445,365.836478,-11.649788,-11.211538,277.802854,-20.434757,12.200765,,72.149492,101.252298,64.341074,128.093614,43.591195,103.174286,12.650581,118.386792,,0,0,0,0,0
31.446,366.336478,-11.801766,-11.784493,278.302854,-20.619026,12.953181,,72.399492,100.752298,64.841074,128.343614,44.341195,103.174286,12.650581,118.136792,,0,0,0,0,0
31.447,365.586478,-12.078311,-11.366571,278.302854,-20.177062,11.791677,,72.399492,100.752298,64.091074,128.343614,43.841195,102.924286,13.400581,118.136792,,0,0,0,0,0
31.448,365.836478,-11.817896,-11.211538,277.552854,-20.342373,12.017647,,72.649492,100.752298,64.591074,127.843614,43.591195,102.924286,12.900581,118.136792,,0,0,0,0,0
