PlayerID,Date,Position,Metric,Value,Time,Impact Load Total (L+R),Average Intensity (L and R)
1,2023-09-19,Forward,Jump Height (Imp-Mom) in Inches [in] ,13.7,Pre,112136.34,13.64
2,2023-09-19,Guard,Jump Height (Imp-Mom) in Inches [in] ,18.4,Pre,46356.17,9.99
2,2023-09-26,Guard,Jump Height (Imp-Mom) in Inches [in] ,18.8,Pre,31049.4,8.88
2,2023-09-27,Guard,Jump Height (Imp-Mom) in Inches [in] ,18.5,Pre,54405.41,9.35
2,2023-10-03,Guard,Jump Height (Imp-Mom) in Inches [in] ,19.0,Pre,73150.02,10.6
2,2023-10-04,Guard,Jump Height (Imp-Mom) in Inches [in] ,19.4,Pre,45080.46,10.16
2,2023-10-10,Guard,Jump Height (Imp-Mom) in Inches [in] ,19.6,Pre,67694.93,9.55
2,2023-10-11,Guard,Jump Height (Imp-Mom) in Inches [in] ,18.4,Pre,60081.43,9.79
2,2023-10-17,Guard,Jump Height (Imp-Mom) in Inches [in] ,18.6,Pre,50983.77,8.24
2,2023-10-24,Guard,Jump Height (Imp-Mom) in Inches [in] ,19.7,Pre,38928.57,9.07
2,2023-10-25,Guard,Jump Height (Imp-Mom) in Inches [in] ,18.2,Pre,74977.08,9.86
3,2023-09-19,Guard,Jump Height (Imp-Mom) in Inches [in] ,15.3,Pre,87054.47,10.68
3,2023-09-20,Guard,Jump Height (Imp-Mom) in Inches [in] ,15.0,Pre,107436.27,13.42
3,2023-10-03,Guard,Jump Height (Imp-Mom) in Inches [in] ,15.1,Pre,73721.01,11.74
3,2023-10-04,Guard,Jump Height (Imp-Mom) in Inches [in] ,15.3,Pre,27914.51,11.15
3,2023-10-11,Guard,Jump Height (Imp-Mom) in Inches [in] ,16.2,Pre,85774.68,13.3
3,2023-10-24,Guard,Jump Height (Imp-Mom) in Inches [in] ,16.8,Pre,76998.36,11.23
3,2023-10-25,Guard,Jump Height (Imp-Mom) in Inches [in] ,16.0,Pre,107156.66,11.02
4,2023-09-19,Guard,Jump Height (Imp-Mom) in Inches [in] ,17.7,Pre,93208.1,10.99
4,2023-09-20,Guard,Jump Height (Imp-Mom) in Inches [in] ,17.8,Pre,85338.12,11.64
4,2023-09-26,Guard,Jump Height (Imp-Mom) in Inches [in] ,15.6,Pre,54838.23,8.91
4,2023-09-27,Guard,Jump Height (Imp-Mom) in Inches [in] ,15.6,Pre,78690.65,11.59
4,2023-10-03,Guard,Jump Height (Imp-Mom) in Inches [in] ,17.6,Pre,71888.98,10.52
4,2023-10-04,Guard,Jump Height (Imp-Mom) in Inches [in] ,18.1,Pre,38846.48,9.82
4,2023-10-10,Guard,Jump Height (Imp-Mom) in Inches [in] ,17.7,Pre,79502.21,9.81
4,2023-10-11,Guard,Jump Height (Imp-Mom) in Inches [in] ,17.7,Pre,68366.25,10.86
4,2023-10-17,Guard,Jump Height (Imp-Mom) in Inches [in] ,17.3,Pre,101742.39,11.25
4,2023-10-24,Guard,Jump Height (Imp-Mom) in Inches [in] ,17.8,Pre,68779.05,10.52
4,2023-10-25,Guard,Jump Height (Imp-Mom) in Inches [in] ,18.4,Pre,70079.67,11.18
5,2023-09-19,Guard,Jump Height (Imp-Mom) in Inches [in] ,15.0,Pre,86994.32,11.06
5,2023-09-20,Guard,Jump Height (Imp-Mom) in Inches [in] ,15.6,Pre,91442.2,11.42
5,2023-09-26,Guard,Jump Height (Imp-Mom) in Inches [in] ,16.3,Pre,76557.51,10.92
5,2023-09-27,Guard,Jump Height (Imp-Mom) in Inches [in] ,15.4,Pre,50722.47,9.81
5,2023-10-04,Guard,Jump Height (Imp-Mom) in Inches [in] ,15.2,Pre,30279.87,9.78
5,2023-10-10,Guard,Jump Height (Imp-Mom) in Inches [in] ,15.1,Pre,92843.53,10.81
5,2023-10-24,Guard,Jump Height (Imp-Mom) in Inches [in] ,16.1,Pre,88391.27,10.24
5,2023-10-25,Guard,Jump Height (Imp-Mom) in Inches [in] ,16.4,Pre,99217.84,9.5
6,2023-09-19,Guard,Jump Height (Imp-Mom) in Inches [in] ,16.3,Pre,91082.64,11.51
6,2023-09-20,Guard,Jump Height (Imp-Mom) in Inches [in] ,17.3,Pre,120083.71,13.67
6,2023-09-26,Guard,Jump Height (Imp-Mom) in Inches [in] ,16.3,Pre,71023.84,11.45
6,2023-09-27,Guard,Jump Height (Imp-Mom) in Inches [in] ,16.0,Pre,78355.9,13.51
6,2023-10-03,Guard,Jump Height (Imp-Mom) in Inches [in] ,16.3,Pre,52184.81,13.09
6,2023-10-04,Guard,Jump Height (Imp-Mom) in Inches [in] ,17.2,Pre,31839.16,12.18
6,2023-10-10,Guard,Jump Height (Imp-Mom) in Inches [in] ,14.7,Pre,94906.43,12.22
6,2023-10-11,Guard,Jump Height (Imp-Mom) in Inches [in] ,14.2,Pre,86797.15,14.75
