Metric,Date,t-statistic,p-value (t-test),W-statistic,p-value (Wilcoxon),Effect Size (Cohen's d)
Jump Height (Imp-Mom) in Inches [in],2023-09-19,29.697852193316916,2.9073211174574613e-154,31846.0,9.90114389367734e-153,0.4532294190968868
Jump Height (Imp-Mom) in Inches [in],2023-09-26,-1.6701814451429768,0.09537549575271263,86952.0,0.0015668186767128294,-0.06476373233203242
Jump Height (Imp-Mom) in Inches [in],2023-09-27,0.6936300554588017,0.48817235253901037,89897.0,0.0792585947313203,0.029867346232742568
Jump Height (Imp-Mom) in Inches [in],2023-10-03,21.91598182360762,2.339625325908095e-94,403662.0,4.5047585774921165e-69,0.27003587889885455
Jump Height (Imp-Mom) in Inches [in],2023-10-04,6.528368856738763,5.845118605955061e-10,3232.0,3.7106849108455805e-15,0.6367242514791517
Jump Height (Imp-Mom) in Inches [in],2023-10-10,1.658161660059889,0.15818271958436486,4.0,0.21875,0.2967688299572841
Jump Height (Imp-Mom) in Inches [in],2023-10-11,-18.466093856208182,1.3182014372990103e-60,30100.0,1.1271725361084022e-45,-0.5504744620566462
Jump Height (Imp-Mom) in Inches [in],2023-10-17,74.30609481181028,0.0,0.0,5.564380647094652e-191,0.3292598944033922
Jump Height (Imp-Mom) in Inches [in],2023-10-24,16.25506850215002,3.0625614473470187e-51,70150.0,7.895243280468347e-36,0.4189623684165817
Jump Height (Imp-Mom) in Inches [in],2023-10-25,11.492318561708874,2.3971596456078062e-26,18528.0,6.935959630821777e-15,0.37990719700571796
Jump Height (Imp-Mom) in Inches [in],2023-09-20,37.73487806589714,6.209862903709489e-167,0.0,2.9827383136440256e-110,0.9689174783262677
Jump Height (Imp-Mom) in Inches [in],2023-10-18,-8.623865312679245,8.607224408225593e-17,45451.0,6.611828907929741e-08,-0.295187186347518
RSI-modified (Imp-Mom) [m/s],2023-09-19,29.194933644017937,4.122982737656786e-150,150041.0,2.7831389855994117e-125,0.49802451884515325
RSI-modified (Imp-Mom) [m/s],2023-09-26,0.8363389251266546,0.40327837068920713,91616.0,0.035801391200657104,0.03888452929806544
RSI-modified (Imp-Mom) [m/s],2023-09-27,1.0219402690738109,0.3072051960981114,92937.0,0.2797045696829422,0.0436123284046761
RSI-modified (Imp-Mom) [m/s],2023-10-03,26.932700548690274,4.041987219722652e-134,211582.0,4.458072396672265e-113,0.4584200535936652
RSI-modified (Imp-Mom) [m/s],2023-10-04,6.663333437141928,2.7863590651715206e-10,4904.0,1.4935787638412405e-08,0.704565077042426
RSI-modified (Imp-Mom) [m/s],2023-10-10,1.51532031339051,0.19012448789807077,2.0,0.13801073756865956,0.31890919579715465
RSI-modified (Imp-Mom) [m/s],2023-10-11,-16.82642616134942,2.5753109993485165e-52,20100.0,1.6622712295643765e-61,-0.4335512641973966
RSI-modified (Imp-Mom) [m/s],2023-10-17,75.86912260441734,0.0,0.0,2.108466608157193e-192,0.4104943096279385
RSI-modified (Imp-Mom) [m/s],2023-10-24,13.779664687299805,9.744137046403701e-39,85150.0,1.3599820615227752e-23,0.3882177534735463
RSI-modified (Imp-Mom) [m/s],2023-10-25,5.667213113352308,2.9232519146557158e-08,26720.0,0.00014874495757468987,0.21563845385819658
RSI-modified (Imp-Mom) [m/s],2023-09-20,27.24503295412472,4.191606687484804e-110,2080.0,1.768839565006759e-81,0.5461572404421293
RSI-modified (Imp-Mom) [m/s],2023-10-18,-10.90199489950759,5.65586208207138e-25,10251.0,6.959342038022445e-18,-0.2723808084662968
Eccentric Mean Braking Force [N],2023-09-19,28.36688359604415,2.5377447768421083e-143,183436.0,1.0808542871043534e-129,0.18495701998032432
Eccentric Mean Braking Force [N],2023-09-26,30.330839939568758,1.1417263590592602e-125,5151.0,2.95410160482177e-96,0.20196392636148083
Eccentric Mean Braking Force [N],2023-09-27,4.121017306520063,4.281340080071625e-05,62624.0,6.098045330953159e-15,0.05241440012307541
Eccentric Mean Braking Force [N],2023-10-03,56.30906898700421,0.0,19306.0,1.1145100510158782e-276,0.3868340475951312
Eccentric Mean Braking Force [N],2023-10-04,-3.471597040770038,0.0006397427126754008,8088.0,0.12685965509205843,-0.20216283871829907
Eccentric Mean Braking Force [N],2023-10-10,-0.2184858826446691,0.8356883224855158,8.0,0.6875,-0.012937114548012192
Eccentric Mean Braking Force [N],2023-10-11,21.489116592547198,2.2750725119485245e-76,25050.0,2.284779991967335e-53,0.26311087307833203
Eccentric Mean Braking Force [N],2023-10-17,57.302642483724135,0.0,14365.0,6.17930850105491e-175,0.23093584424197192
Eccentric Mean Braking Force [N],2023-10-24,23.750766880400544,8.730677825445986e-94,15050.0,9.559426272026378e-103,0.22366424360367515
Eccentric Mean Braking Force [N],2023-10-25,11.545109444316374,1.5271390942095834e-26,16512.0,2.452891978954997e-18,0.26747248108092975
Eccentric Mean Braking Force [N],2023-09-20,25.682809824482813,2.2117544733811115e-101,9882.0,1.4441159486786634e-91,0.36013909641390845
Eccentric Mean Braking Force [N],2023-10-18,16.227599110611028,7.005267724276637e-48,25150.0,1.3597087310001281e-31,0.5317697434359483
Eccentric Duration [ms],2023-09-19,-20.82667743013447,2.787814999415673e-85,279864.0,6.9766185118545085e-59,-0.39697402278481886
Eccentric Duration [ms],2023-09-26,-8.05296864340021,3.990137776605417e-15,86287.0,0.0009478988189485072,-0.3759177585910751
Eccentric Duration [ms],2023-09-27,-3.9369716213944286,9.180708513259497e-05,80649.0,0.00014154844471550503,-0.13064362878351932
Eccentric Duration [ms],2023-10-03,-13.027978355665976,4.124819768403969e-37,538413.0,1.7395597510357112e-29,-0.15168896001858173
Eccentric Duration [ms],2023-10-04,2.2948669036458424,0.022827746135984928,7984.0,0.09659116372158282,0.12374818792838155
Eccentric Duration [ms],2023-10-10,-0.3863170789150972,0.7151544925025844,10.0,1.0,-0.1471033758340226
Eccentric Duration [ms],2023-10-11,-11.477631463864197,1.0590234518905474e-27,50100.0,3.0526507267616836e-21,-0.4021295294566311
Eccentric Duration [ms],2023-10-17,-24.142537450310567,1.7194020422268245e-104,134751.0,2.258254234361743e-68,-0.5116277971265494
Eccentric Duration [ms],2023-10-24,-8.055060013008497,3.053279480118985e-15,120200.0,2.0849901569211915e-05,-0.3166456297286182
Eccentric Duration [ms],2023-10-25,1.4368798237828178,0.15159719047146775,29902.0,0.025503682688591166,0.03509257452665499
Eccentric Duration [ms],2023-09-20,-0.4794004135410594,0.6318126071648746,108337.0,0.8290927494591159,-0.010533193168827696
Eccentric Duration [ms],2023-10-18,-8.007214856078082,8.287652210700422e-15,45150.0,3.913328689901114e-08,-0.24427748907762115
Eccentric Braking RFD / BM [N/s/kg],2023-09-19,40.57431824740635,6.021850919289477e-247,44044.0,2.2137184176373963e-202,0.6163618351028064
Eccentric Braking RFD / BM [N/s/kg],2023-09-26,3.256060360647204,0.0011896939118193055,67551.0,0.19186970740793974,0.12084378795061435
Eccentric Braking RFD / BM [N/s/kg],2023-09-27,-0.736006114416789,0.4620035506799869,80585.0,0.0001271046772309122,-0.021633718849986494
